Date,Stock Price,Equity REIT Price,diff_stockprice,diff_Equity REIT Price,,,,,S&P 100
"August 1, 1975",86.88,65.97463663,-3.01,-1.058589784,,,,,
"September 1, 1975",83.87,61.05564042,5.17,-4.918996203,,,,,
"October 1, 1975",89.04,58.91951873,2.20,-2.136121698,,,,,
"November 1, 1975",91.24,59.87475419,-1.05,0.955235467,,,,,
"December 1, 1975",90.19,60.53831047,10.67,0.663556275,,,,,
"January 1, 1976",100.86,68.06970526,-1.15,7.531394797,,,,,
"February 1, 1976",99.71,71.39294887,3.06,3.323243606,,,,,
"March 1, 1976",102.77,70.95984597,-1.13,-0.433102897,,,,,
"April 1, 1976",101.64,71.72820202,-1.46,0.768356051,,,,,
"May 1, 1976",100.18,69.68453278,4.10,-2.043669245,,,,,
"June 1, 1976",104.28,71.6854755,-0.84,2.000942719,,,,,
"July 1, 1976",103.44,72.74738162,-0.53,1.061906125,,,,,
"August 1, 1976",102.91,75.37953764,2.33,2.632156019,,,,,
"September 1, 1976",105.24,75.33144301,-2.34,-0.048094633,,,,,
"October 1, 1976",102.90,75.70940805,-0.80,0.377965044,,,,,
"November 1, 1976",102.10,78.10830229,5.36,2.398894234,,,,,
"December 1, 1976",107.46,82.45918038,-5.43,4.350878088,,,,,
"January 1, 1977",102.03,86.58880919,-2.21,4.129628812,,,,,
"February 1, 1977",99.82,87.31281286,-1.40,0.724003669,,,,,
"March 1, 1977",98.42,87.00558404,0.02,-0.307228817,,,,,
"April 1, 1977",98.44,87.70712529,-2.32,0.70154125,,,,,
"May 1, 1977",96.12,87.87678367,4.36,0.169658383,,,,,
"June 1, 1977",100.48,90.76871609,-1.63,2.891932416,,,,,
"July 1, 1977",98.85,90.35771888,-2.08,-0.410997206,,,,,
"August 1, 1977",96.77,90.39599279,-0.24,0.038273903,,,,,
"September 1, 1977",96.53,89.96354378,-4.19,-0.432449006,,,,,
"October 1, 1977",92.34,89.38913132,2.49,-0.574412459,,,,,
"November 1, 1977",94.83,93.23774274,0.27,3.848611416,,,,,
"December 1, 1977",95.10,93.98003162,-5.85,0.742288886,,,,,
"January 1, 1978",89.25,91.22637591,-2.21,-2.753655714,,,,,
"February 1, 1978",87.04,92.23307922,2.17,1.00670331,,,,,
"March 1, 1978",89.21,96.13703909,7.62,3.903959874,,,,,
"April 1, 1978",96.83,98.25229401,0.41,2.115254914,,,,,
"May 1, 1978",97.24,95.14395113,-1.71,-3.108342881,,,,,
"June 1, 1978",95.53,94.00681945,5.15,-1.137131675,,,,,
"July 1, 1978",100.68,95.92366391,2.61,1.916844454,,,,,
"August 1, 1978",103.29,99.76640866,-0.75,3.842744758,,,,,
"September 1, 1978",102.54,98.9482855,-9.39,-0.818123161,,,,,
"October 1, 1978",93.15,90.70016738,1.55,-8.248118122,,,,,
"November 1, 1978",94.70,93.44459844,1.41,2.744431061,,,,,
"December 1, 1978",96.11,96.47909964,3.82,3.034501201,,,,,
"January 1, 1979",99.93,98.97013954,-3.65,2.491039894,,,,,
"February 1, 1979",96.28,100.547249,5.31,1.577109462,,,,,
"March 1, 1979",101.59,107.3057706,0.17,6.758521639,,,,,
"April 1, 1979",101.76,106.8814727,-2.68,-0.424297962,,,,,
"May 1, 1979",99.08,105.6600625,3.83,-1.221410153,,,,,
"June 1, 1979",102.91,114.8802096,0.90,9.220147047,,,,,
"July 1, 1979",103.81,118.454082,5.51,3.573872428,,,,,
"August 1, 1979",109.32,132.9582038,0.00,14.5041218,,,,,
"September 1, 1979",109.32,128.7453554,-7.50,-4.212848363,,,,,
"October 1, 1979",101.82,114.084425,4.34,-14.66093039,,,,,
"November 1, 1979",106.16,117.800023,1.78,3.715597956,,,,,
"December 1, 1979",107.94,121.0679709,6.22,3.267947924,,,,,
"January 1, 1980",114.16,128.4953121,-0.50,7.427341199,,,,,
"February 1, 1980",113.66,129.5321923,-11.57,1.0368802,,,,,
"March 1, 1980",102.09,113.0554931,4.20,-16.47669926,,,,,
"April 1, 1980",106.29,111.7815111,4.95,-1.27398199,,,,,
"May 1, 1980",111.24,103.7685699,3.00,-8.012941144,,,,,
"June 1, 1980",114.24,110.3597978,7.43,6.591227852,,,,,
"July 1, 1980",121.67,117.680661,0.71,7.320863191,,,,,
"August 1, 1980",122.38,120.7889314,3.08,3.108270466,,,,,
"September 1, 1980",125.46,118.0840638,2.01,-2.70486761,,,,,
"October 1, 1980",127.47,129.0842813,13.05,11.00021744,,,,,
"November 1, 1980",140.52,126.1956827,-4.76,-2.888598607,,,,,
"December 1, 1980",135.76,123.4234279,-6.21,-2.772254768,,,,,
"January 1, 1981",129.55,124.6177583,1.72,1.194330374,,,,,
"February 1, 1981",131.27,125.0393001,4.73,0.421541874,,,,,
"March 1, 1981",136.00,127.6379987,-3.19,2.598698527,,,,,
"April 1, 1981",132.81,128.3823325,-0.22,0.744333881,,,,,
"May 1, 1981",132.59,127.489537,-1.38,-0.892795518,,,,,
"June 1, 1981",131.21,129.8047723,-0.29,2.315235235,,,,,
"July 1, 1981",130.92,127.5175369,-8.13,-2.287235374,,,,,
"August 1, 1981",122.79,122.0403227,-6.61,-5.477214218,,,,,
"September 1, 1981",116.18,113.4256496,5.71,-8.614673094,,,,,
"October 1, 1981",121.89,117.9694501,4.46,4.543800557,,,,,
"November 1, 1981",126.35,121.8754016,-3.80,3.905951506,,,,,
"December 1, 1981",122.55,120.9185327,-2.15,-0.956868885,,,,,
"January 1, 1982",120.40,119.0079448,-7.29,-1.910587908,,,,,
"February 1, 1982",113.11,116.0932281,-1.15,-2.91471676,,,,,
"March 1, 1982",111.96,113.7800424,4.48,-2.313185664,,,,,
"April 1, 1982",116.44,115.510116,-4.56,1.73007356,,,,,
"May 1, 1982",111.88,115.1792904,-2.27,-0.330825593,,,,,
"June 1, 1982",109.61,110.264759,-2.52,-4.914531353,,,,,
"July 1, 1982",107.09,109.250376,12.42,-1.014383077,,,,,
"August 1, 1982",119.51,112.6789948,0.91,3.42861886,,,,,
"September 1, 1982",120.42,117.1949686,13.30,4.515973769,,,,,
"October 1, 1982",133.72,127.6221405,4.81,10.42717188,,,,,
"November 1, 1982",138.53,132.0764473,2.11,4.454306871,,,,,
"December 1, 1982",140.64,134.808123,4.66,2.731675613,,,,,
